Color Size Class
-0.731271511775 0.694867473874 A
0.527549237953 -0.489861948521 B
-0.00912982581612 -0.101017870423 A
0.303185945446 0.577446702271 A
-0.812280826452 -0.943305046956 B
0.67153020784 -0.13446586419 B
0.524560164916 -0.995787893298 B
-0.10922561189 0.443080064682 A
-0.542475557459 0.890541391108 A
0.802854915223 -0.938820033933 B
-0.949108278013 0.082824945587 A
0.878298325557 -0.237591524624 B
-0.566801205739 -0.155766848835 A
-0.94191842485 -0.556616667454 A
-0.124224812699 -0.0083755172363 A
-0.533831099485 -0.538266916918 B
-0.562437925325 -0.0807930685245 A
-0.420436770819 -0.957020589468 B
0.675155951325 0.112908645305 A
0.284588725865 -0.628187468211 B
0.985086824352 0.719893057591 C
-0.758220080388 -0.33460962928 A
0.442968815167 0.422383539391 A
0.872881173599 -0.155786000077 B
0.660071386549 0.340611132828 C
-0.393262978134 0.175161212287 A
0.764958001664 0.692394836857 C
0.0105676411592 0.178004515965 A
-0.930948339697 -0.514520052914 A
0.594808495109 -0.171372001398 B
-0.653985196842 0.0975975227763 A
0.406081524131 0.348971661005 A
-0.250593958997 -0.122076739911 A
0.0168529765 0.55688523 A
0.0418768352263 -0.213489810072 A
-0.0206129590755 -0.940850072066 B
-0.913025419287 0.406764177208 A
0.966375434619 0.18636746076 C
-0.212800627244 -0.659301606289 B
0.00447711686697 0.964153275077 A
0.541046279662 0.0792348968996 A
0.720579557841 -0.535647743874 B
0.0275433263753 0.904934776537 A
0.155589615602 -0.0817365361787 A
-0.461441045117 0.0959926189325 A
0.91423256292 -0.988581741099 B
0.567310465231 0.640971823851 C
0.772359161652 0.481006823666 C
0.618279801745 0.037356567046 A
0.122715729557 -0.147818640624 A
-0.887753404959 0.740020310353 A
0.139998667753 -0.600321159646 B
0.00944093485773 -0.0301497755445 A
-0.28642007091 -0.307844161964 A
0.0769575914757 0.246978905595 A
0.224904929565 -0.0837063998006 A
-0.944050031832 -0.540789937446 A
-0.645577482123 0.168921741557 A
0.722017721707 0.596877881155 C
0.594195125271 0.632874741121 C
-0.489411919825 0.683489664548 A
0.346227050877 -0.833531724392 B
-0.966618739769 -0.97088005015 B
0.511173550504 -0.500881548693 B
-0.781022745411 0.249604168305 A
-0.311154271807 -0.860969242938 B
-0.680748950612 0.054760798096 A
-0.663710107555 -0.454171126363 A
-0.158162641582 -0.623921390497 B
0.0202319618574 -0.581818014896 B
-0.958363782981 -0.964270958344 B
0.935806620302 0.75106848847 C
-0.49528379544 -0.983039475073 B
0.757435796418 -0.924166938803 B
0.638828221226 0.924402250362 C
0.14056114049 -0.656965809645 B
0.73556212887 0.947550472319 C
-0.134099757799 -0.61176271003 B
0.79935653927 -0.963814032719 B
0.974099435856 0.565400751459 C
-0.321808704298 -0.573940407238 B
0.348910139448 0.675402140308 C
0.864374943787 -0.312300370418 B
0.764786404933 0.374220364307 C
-0.830639539167 -0.660611716411 B
0.821975567016 -0.574063610017 B
0.682264391412 -0.263784001189 B
0.908614914344 0.774530209434 C
-0.791450003971 -0.921724402806 B
0.57623289745 0.657011942938 C
0.563807203266 -0.243920742323 B
0.141563051198 -0.552571854502 B
0.850134404217 -0.0844614819175 B
0.655536313291 -0.975236511027 B
0.340823278048 -0.816633754767 B
0.976316997212 -0.157972825139 B
0.826784034332 0.939626553676 C
0.95990577178 0.0858263949694 C
0.552417965972 0.969791742288 C
0.607712561968 0.814307533994 C
0.681437044493 0.492369770809 C
0.926771766643 0.616505256745 C
0.813879009012 0.835413167676 C
0.385113929206 0.697982244973 C
0.712554277826 0.793208742233 C
0.92015763393 0.142465388435 C
0.551514500631 0.683861717087 C
0.582181436736 0.617309240328 C
0.9472322191 0.0907540076517 C
0.0905741795363 0.929890657573 C
0.522131319706 0.94703956916 C
0.489261235477 0.975183382445 C
0.795818343274 0.49754692715 C
0.874235919078 0.564947370742 C
0.692536133202 0.534999580285 C
0.41604005413 0.747884149626 C
0.4268739968 0.630006887857 C
0.413380626503 0.687585244489 C
0.826290010407 0.456495689574 C
0.407847188838 0.629821117579 C
