ID,target
ID_01QM0NU,0
ID_024NJLZ,0
ID_02NOVWQ,0
ID_02VSP68,0
ID_02YB37K,0
ID_04OFD80,0
ID_04UA1UO,0
ID_06QWOUO,0
ID_06SOU7C,0
ID_0CRE393,0
ID_0D598MI,0
ID_0EUIYTC,0
ID_0FBQCMF,0
ID_0G32KK0,0
ID_0G8LN29,0
ID_0HZ0SGK,0
ID_0IEWNLE,0
ID_0IG9TFC,0
ID_0J11QD0,0
ID_0KI5LO5,0
ID_0KIV90L,0
ID_0MOXT38,0
ID_0N6C2N6,0
ID_0NJQCGC,0
ID_0OY6BWD,0
ID_0P00KVT,0
ID_0PAPPE2,0
ID_0PX089J,0
ID_0SJ3H22,0
ID_0U1TI1O,0
ID_0VSJD2V,0
ID_0VW4ENS,0
ID_0WI1PKC,0
ID_0XBP65Y,0
ID_0XWTUD1,0
ID_0XYBQSZ,0
ID_0YY2WTH,0
ID_0Z10C2X,0
ID_113L0WC,0
ID_12LAA0M,0
ID_14E64YO,0
ID_14PTJAR,0
ID_15E6VNK,0
ID_18GG600,0
ID_18YKWD3,0
ID_19Y74F3,0
ID_1A892BZ,0
ID_1BB9A3U,0
ID_1BHINKZ,0
ID_1CE0FXA,0
ID_1DGETB8,0
ID_1DY15LV,0
ID_1F7S4BX,0
ID_1FON9ZU,0
ID_1FONKDO,0
ID_1GJMKH8,0
ID_1GORHQO,0
ID_1MHPLTV,0
ID_1O6QEW2,0
ID_1OIPLKX,0
ID_1QAE16E,0
ID_1QQW9CU,0
ID_1RR0Y6C,0
ID_1RZN8I3,0
ID_1UON1RT,0
ID_1VP88Q5,0
ID_1WLRCU0,0
ID_1YRBDWT,0
ID_1YW7WT1,0
ID_1ZI8ZSZ,0
ID_1ZZU3IR,0
ID_244J85K,0
ID_25U943Y,0
ID_267N5A8,0
ID_289CWU4,0
ID_2AI4597,0
ID_2B2FYSI,0
ID_2B3U82F,0
ID_2C29BYK,0
ID_2D0ZF96,0
ID_2H2K4QE,0
ID_2L2XPWT,0
ID_2O8MDN1,0
ID_2P5J05Q,0
ID_2QGOGUG,0
ID_2U5W13T,0
ID_2VKUIGB,0
ID_2Y0JRLS,0
ID_2Z3GNJ7,0
ID_2Z7D1E4,0
ID_30MTKD4,0
ID_32FN3HQ,0
ID_33CICFM,0
ID_34KLMJ7,0
ID_35JICYR,0
ID_3780D61,0
ID_37SOGMD,0
ID_38SMIQ3,0
ID_39IKGU7,0
ID_3ADSMO6,0
ID_3B2AGCH,0
ID_3CFOCEH,0
ID_3F65EZE,0
ID_3I0E5SI,0
ID_3I78S34,0
ID_3MSHMQW,0
ID_3OA0G45,0
ID_3OACKAV,0
ID_3OH4H7Z,0
ID_3OLL3A8,0
ID_3PSQ5Y1,0
ID_3Q78KPI,0
ID_3RQ6DDU,0
ID_3SCYD4I,0
ID_3SS1WAG,0
ID_3TKP4M2,0
ID_3VAANJU,0
ID_3ZWA47Q,0
ID_41QVH42,0
ID_42YEFMZ,0
ID_43AGYEM,0
ID_44JR273,0
ID_44NBH9P,0
ID_44PIBC6,0
ID_44XEX1S,0
ID_45S72TX,0
ID_48BP60K,0
ID_48BZKV6,0
ID_48R3MES,0
ID_48Y2QMS,0
ID_49K22M5,0
ID_49Q5M8L,0
ID_4AN1ETY,0
ID_4E3EGN3,0
ID_4E551E7,0
ID_4G6OD17,0
ID_4HOZPIV,0
ID_4HWMHOJ,0
ID_4IV59U8,0
ID_4KK2ECZ,0
ID_4KM1M1P,0
ID_4KSURGT,0
ID_4KVCIBH,0
ID_4MA0ULH,0
ID_4NRO90W,0
ID_4QH4OCN,0
ID_4SMZ3ZC,0
ID_4VW1JG8,0
ID_4W7O08X,0
ID_4YNX5VX,0
ID_542SPU2,0
ID_543T4OB,0
ID_55FCXPG,0
ID_56KMB77,0
ID_58W38SL,0
ID_59N3T1Y,0
ID_5AR9T9X,0
ID_5B6V98F,0
ID_5BUL87R,0
ID_5FWCPID,0
ID_5HUPGBM,0
ID_5IC2193,0
ID_5J8G32Q,0
ID_5JJQGZX,0
ID_5JS3778,0
ID_5K809A9,0
ID_5KD0JFS,0
ID_5LNAVH7,0
ID_5MAHPKR,0
ID_5MXINK3,0
ID_5RH3ML9,0
ID_5SVOBDN,0
ID_5TK6Q6V,0
ID_5TRKUIB,0
ID_5UNWWXZ,0
ID_5W5B7G5,0
ID_5X0TO3K,0
ID_5Z6I5U9,0
ID_5ZETLRN,0
ID_601083A,0
ID_606NEYQ,0
ID_60ZAZSF,0
ID_61V7TLI,0
ID_61WJKEQ,0
ID_61YHUPM,0
ID_636FWY8,0
ID_65F160A,0
ID_65MICD7,0
ID_65W54GY,0
ID_65ZO1JA,0
ID_6AC7IOY,0
ID_6E7U3J2,0
ID_6I37JUV,0
ID_6IOTXI6,0
ID_6J67ZMY,0
ID_6JEYVLP,0
ID_6JKHKXU,0
ID_6K3O0LW,0
ID_6KAEC3N,0
ID_6LQBFPC,0
ID_6NH3AX4,0
ID_6NW6V26,0
ID_6RE9WU7,0
ID_6VQYSYR,0
ID_6W55QIO,0
ID_6XLUCSR,0
ID_6ZMGQZM,0
ID_6ZYACOB,0
ID_74DW007,0
ID_76ILCPX,0
ID_76PJNB8,0
ID_770ADXK,0
ID_78CCJ1W,0
ID_78N1D07,0
ID_78Y5THE,0
ID_79L4P0R,0
ID_7ATNABD,0
ID_7AXWSZ8,0
ID_7B58W8F,0
ID_7CPR6R1,0
ID_7DJ6GXA,0
ID_7DP4IRV,0
ID_7ESW1SZ,0
ID_7HJQ7CZ,0
